Winner,B_avg_SIG_STR_pct,B_avg_TD_pct,B_avg_SUB_ATT,B_avg_SIG_STR_landed,B_avg_TD_landed,B_wins,B_losses,B_draw,B_Height_cms,B_Reach_cms,R_avg_SIG_STR_pct,R_avg_TD_pct,R_avg_SUB_ATT,R_avg_SIG_STR_landed,R_avg_TD_landed,R_wins,R_losses,R_draw,R_Height_cms,R_Reach_cms,B_age,R_age
Blue,0.455,0,0,33.625,0,3,1,0,193.04,198.12,0.35265625,0.046875,0.625,25.8984375,0.046875,4,4,0,187.96,185.42,28,36
Red,0.458847656,0.6315625,0.63671875,15.6171875,0.796875,9,1,0,185.42,195.58,0.4025,0.5,0,29.5,0.5,3,0,0,182.88,187.96,30,27
Blue,0.3925,0.5,0,105.375,0.5,4,0,0,165.1,160.02,0.4140625,0.015625,0,75.31445313,0.03125,5,5,0,160.02,162.56,30,34
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,165.1,172.72,0.514726563,0.538007813,0.08984375,35.6796875,1.015625,6,3,0,165.1,170.18,27,30
Blue,0.12,0,0,4,0,0,1,0,180.34,185.42,0.24,0,2,12,0,0,1,0,177.8,183.5219184,37,27
Blue,0.476875,0.5625,0,42.0625,1.0625,3,2,0,172.72,180.34,0.4025,0.0625,0.1875,7.75,0.0625,4,1,0,170.18,185.42,28,30
Red,0.52,0.57,0,55,4,1,0,0,165.1,165.1,0.43,0.35,0.25,31,1,2,1,0,167.64,167.64,25,29
Red,0.515,0.33,0,70.5,1.5,0,2,0,190.5,198.12,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,187.96,193.04,25,32
Blue,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,170.18,180.34,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,177.8,180.34,24,26
Red,0.496306152,0,0.000976563,10.02587891,0,9,4,0,190.5,208.28,0.486357422,0.255205078,0.004394531,22.78076172,0.26171875,8,4,0,198.12,200.66,37,33
Red,0.52,0.66,0,29,2,1,0,0,182.88,177.8,0.56,0.25,2.5,23.25,0.5,2,1,0,182.88,183.5219184,22,34
Red,1,0,0,1,0,0,1,0,208.28,183.3322081,0.4275,0.525,3,3.1875,0.625,4,1,0,190.5,200.66,24,24
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,185.42,193.04,0.3275,0.25,0.5,7.75,1.25,2,1,0,182.88,177.8,20,32
Draw,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,167.64,167.64,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,165.1,167.64,27,28
Red,0.345625,0.0625,0.0625,20.75,0.0625,2,4,0,154.94,157.48,0.3,0,0,9,0,0,1,0,162.56,160.02,28,26
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,175.26,167.64,0.4,0,0,87,0,0,1,0,165.1,167.64,31,28
Blue,0.49,0.45875,0.5,48.5,2.25,3,1,0,172.72,175.26,0.5225,0.165,0,37.40625,1,3,3,0,170.18,175.26,27,26
Blue,0.50625,0,0,50,0,3,1,0,182.88,180.34,0.625,0.375,0,25.5,1.5,1,1,0,182.88,182.88,29,35
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,170.18,175.26,0.53,0.3,0,72,3,1,0,0,165.1,162.56,29,28
Blue,0.415,0.425,0.5,40.5,2,2,0,0,162.56,165.1,0.423125,0.25,0,36.3125,0.5,4,1,0,160.02,170.18,28,23
Red,0.48,0.5,0,80,1,1,0,0,185.42,187.96,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,177.8,185.42,25,32
Red,0.48,0.5,2,25,0.5,1,1,0,172.72,177.8,0.4,0,0,18,0,0,1,0,172.72,175.26,23,30
Blue,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,187.96,190.5,0.4859375,0.5709375,0,42.75,2.25,3,3,0,182.88,187.96,29,29
Blue,0.58,0,0,34,0,1,0,0,182.88,195.58,0.374375,0.3796875,0.03125,42.5625,1.75,2,4,0,177.8,190.5,33,40
Red,0.46875,0.3375,0.25,36.4375,1,4,2,0,175.26,177.8,0.38,0.41625,1.375,11.25,1.25,3,1,0,185.42,190.5,35,26
Red,0.3225,0.2125,1.5,8.75,1.5,3,0,0,185.42,187.96,0.3625,0.30125,0,10.125,1.625,1,3,0,185.42,185.42,27,32
Red,0.535,0,0,39.5,0,1,2,0,160.02,162.56,0.642304688,0.50125,0.66015625,49.34375,1.734375,6,3,0,154.94,157.48,32,25
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,177.8,183.3322081,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,190.5,195.58,27,27
Blue,0.405,0,2.5,39.5,0,1,1,0,187.96,182.88,0.40875,0.375,0.125,49.625,0.625,1,3,0,177.8,190.5,30,30
Blue,0.3434375,0.500625,0.53125,33.25,2.09375,3,3,0,182.88,185.42,0.519697266,0.589755859,0.01171875,43.64355469,1.282226563,6,5,0,185.42,193.04,29,36
Blue,0.504375,0.105,0.25,17.0625,1.125,3,2,0,190.5,193.04,0.445301282,0.1179346,3.25E-05,51.22992638,1.0157471,16,10,0,190.5,195.58,37,39
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,177.8,177.8,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,177.8,183.5219184,23,24
Red,0.56,1,0,65,1,1,0,0,175.26,177.8,0.331875,0.6,0.1875,32.6875,1.8125,4,1,0,175.26,182.88,30,24
