name,nickname,wins,losses,draws,height_cm,reach_in_cm,stance,date_of_birth,,significant_strikes_landed_per_minute y,significant_striking_accuracy y,average_takedowns_landed_per_15_minutes y,takedown_accuracy,average_submissions_attempted_per_15_minutes
Robert Drysdale,,7,0,0,190.5,,Orthodox,10/5/1981,43,0,0,7.32,100,21.9
Daniel McWilliams,The Animal,15,37,0,185.42,,,,,3.36,77,0,0,21.6
Dan Molina,,13,9,0,177.8,,,,,0,0,0,0,20.9
Paul Ruiz,,7,4,0,167.64,,,,,1.4,33,0,0,20.9
Collin Huckbody,All In,8,2,0,190.5,193.04,Orthodox,9/29/1994,30,2.05,60,10.23,100,20.4
Gerald Strebendt,The Finishing Machine,9,7,0,175.26,,Orthodox,3/1/1979,45,0,0,0,0,16.4
Isaiah Hill,,5,7,1,177.8,,,,,4.84,50,0,0,14.5
Kenneth Seegrist,,4,7,0,182.88,,Orthodox,,,3.21,66,0,0,14.4
Will Kerr,,9,3,0,177.8,175.26,Orthodox,10/21/1982,42,1.91,42,0,0,14.3
Neil Grove,Goliath,12,8,1,198.12,,Orthodox,1/18/1971,53,0,0,0,0,14.3
Raphael Butler,The Silencer,9,2,1,190.5,,,,,4.69,45,0,0,14.1
Bo Nickal,,5,0,0,185.42,193.04,Southpaw,1/14/1996,28,2.76,62,11.04,50,13.8
Ian Entwistle,Enty,9,3,0,165.1,,Orthodox,11/19/1986,37,0.11,7,0,0,12.1
Megumi Fujii,Mega Megu,26,3,0,160.02,,,,,2.4,42,0,0,12
Gaston Reyno,Tonga,6,2,0,182.88,,,,,7.79,62,0,0,11.7
Kenny Ento,Tha' Dragon,14,15,0,187.96,,,,,8.41,79,5.49,100,11
AJ McKee,Mercenary,8,0,0,177.8,,,,,2.75,32,11.01,100,11
Westin Wilson,,16,8,0,185.42,185.42,Southpaw,1/24/1989,35,1.38,50,0,0,10.3
Philip Perez,,7,5,1,165.1,,Southpaw,,,1.36,100,10.23,100,10.2
Brandon Shuey,Big Dawg,7,6,0,170.18,,Orthodox,2/1/1976,48,0.68,33,0,0,10.2
Dave Phillips,The Rockstar,13,7,0,182.88,,Orthodox,1/12/1980,44,0,0,0,0,10
Johnny Sampaio,,3,1,0,172.72,,Orthodox,9/11/1975,49,1.32,40,9.89,50,9.9
Dione Barbosa,The Witch,6,2,0,167.64,167.64,Orthodox,5/8/1992,32,0.87,50,3.27,100,9.8
Zach Reese,Savage,6,1,0,193.04,195.58,Switch,3/24/1994,30,3.93,66,0,0,9.8
Rodrigo Gripp de Sousa,Riscado,7,9,0,180.34,,Orthodox,,,0.48,23,0,0,9.6
Justin Burlinson,,6,1,0,185.42,187.96,Switch,5/19/1997,27,1.24,40,0,0,9.3
Poppies Martinez,The Tachi Kid,29,11,0,175.26,,,,,2.88,50,1.54,33,9.2
Josh Rafferty,,9,8,0,182.88,,Orthodox,1/6/1981,43,0.6,33,0,0,9
Daniel Puder,,8,0,0,190.5,,Orthodox,10/9/1981,43,2.77,68,1.21,50,9
Yukio Sakaguchi,,6,7,0,175.26,,Orthodox,7/26/1973,51,0.3,25,4.5,100,9
Magomed Sultanakhmedov,,18,6,0,187.96,,Southpaw,,,0,0,9,100,9
Jeff Newton,,4,2,0,187.96,,Sideways,12/11/1966,57,0.28,20,0,0,8.5
Emiliano Sordi,He-Man,16,7,0,187.96,,Orthodox,2/15/1991,33,4.79,50,0,0,8.3
Erik Apple,,10,3,0,182.88,,Orthodox,8/26/1977,47,0,0,0,0,8.1
Fazlo Mulabitinovic,,4,2,0,,,,,,0.54,16,0,0,8
J.T Taylor,The Outlaw,7,7,0,177.8,,,,,3.17,80,3.96,100,7.9
Adam Meredith,,5,3,0,187.96,,,,,2.63,50,7.89,100,7.9
Klayton Mai,,8,3,0,175.26,,,,,1.53,42,3.83,100,7.7
Ron Keslar,,11,9,0,,,,,,0,0,0,0,7.7
Bobby McAndrews,,1,3,0,,,Orthodox,,,2.56,83,0,0,7.7
Ansar Chalangov,,14,5,0,175.26,,Orthodox,10/30/1979,44,0.68,66,0,0,7.6
Jeremiah Constant,,11,8,0,185.42,,Orthodox,7/19/1974,50,1.5,75,0,0,7.5
Paul Sass,,14,2,0,182.88,185.42,Orthodox,8/4/1988,36,0.53,26,0.53,16,7.4
Eddy Millis,,0,2,0,185.42,,,,,0,0,0,0,7.2
James Lee,,15,3,0,180.34,,Southpaw,9/22/1973,51,1.4,42,13.95,50,7
Mikhail Iloukhine,,30,11,1,175.26,,Orthodox,11/21/1966,57,0.16,20,0,0,7
Kyle Jensen,,4,11,2,175.26,,Orthodox,7/20/1979,45,0,0,6.92,100,6.9
Ilya Kotau,,1,2,0,,,,,,3.94,40,6.57,100,6.6
Trevor Harris,,2,2,0,167.64,,,,,1.73,50,0,0,6.5
Jinnosuke Kashimura,,4,2,0,170.18,180.34,Southpaw,8/12/2001,23,0.21,50,3.16,100,6.3
Tom Erikson,The Big Cat,9,4,1,190.5,,Orthodox,,,0.94,47,4.68,60,6.2
Jason Black,The Black Legion,23,4,1,172.72,,Orthodox,7/15/1972,52,1.06,47,0.48,33,6.2
Francisco France,Kiko,13,5,1,182.88,,,,,0.54,33,0,0,6.1
John Albert,Prince,6,5,0,172.72,172.72,Orthodox,10/13/1986,38,3.05,49,0,0,6.1
Daniel Swain,,20,10,1,175.26,177.8,Orthodox,1/30/1991,33,0.8,44,0,0,6
Neiman Gracie,,6,0,0,182.88,,,,,0.77,100,5.77,100,5.8
Shamil Gaziev,,11,0,0,193.04,198.12,Orthodox,2/10/1990,34,1.52,100,0,0,5.7
Masakatsu Funaki,,39,13,2,182.88,,Southpaw,3/13/1969,55,1.82,68,0,0,5.5
