name,weight
Brandon Moreno,125
Deiveson Figueiredo,125
Askar Askarov,125
Alexandre Pantoja,125
Alex Perez,125
Brandon Royval,125
Kai Kara-France,125
Rogerio Bontorin,125
Matheus Nicolau,125
Matt Schnell,125
David Dvorak,125
Tim Elliott,125
Su Mudaerji,125
Amir Albazi,125
Tagir Ulanbekov,125
Tyson Nam,125
Aljamain Sterling,135
Petr Yan,135
Tj Dillashaw,135
Cory Sandhagen,135
Rob Font,135
Jose Aldo,135
Merab Dvalishvili,135
Cody Garbrandt,135
Pedro Munhoz,135
Marlon Moraes,135
Dominick Cruz,135
Marlon Vera,135
Raphael Assuncao,135
Frankie Edgar,135
Song Yadong,135
Cody Stamann,135
Alexander Volkanovski,145
Max Holloway,145
Brian Ortega,145
Yair Rodriguez,145
Chan Sung Jung,145
Calvin Kattar,145
Arnold Allen,145
Josh Emmett,145
Giga Chikadze,145
Dan Ige,145
Edson Barboza,145
Bryce Mitchell,145
Sodiq Yusuff,145
Movsar Evloev,145
Shane Burgos,145
Alex Caceres,145
Charles Oliveira,155
Dustin Poirier,155
Justin Gaethje,155
Beneil Dariush,155
Islam Makhachev,155
Michael Chandler,155
Rafael Dos Anjos,155
Tony Ferguson,155
Dan Hooker,155
Conor Mcgregor,155
Gregor Gillespie,155
Carlos Diego Ferreira,155
Brad Riddell,155
Arman Tsarukyan,155
Rafael Fiziev,155
Joel Alvarez,155
Kamaru Usman,170
Colby Covington,170
Gilbert Burns,170
Leon Edwards,170
Vicente Luque,170
Stephen Thompson,170
Michael Chiesa,170
Jorge Masvidal,170
Neil Magny,170
Belal Muhammad,170
Khamzat Chimaev,170
Geoff Neal,170
Li Jingliang,170
Santiago Ponzinibbio,170
Sean Brady,170
Muslim Salikhov,170
Israel Adesanya,185
Robert Whittaker,185
Marvin Vettori,205
Jared Cannonier,185
Derek Brunson,185
Paulo Costa,205
Jack Hermansson,185
Sean Strickland,185
Darren Till,185
Uriah Hall,185
Kelvin Gastelum,185
Brad Tavares,185
Kevin Holland,185
Nassourdine Imavov,185
Chris Weidman,185
Edmen Shahbazyan,185
Glover Teixeira,205
Jan Blachowicz,205
Jiri Prochazka,205
Aleksandar Rakic,205
Anthony Smith,205
Thiago Santos,205
Magomed Ankalaev,205
Dominick Reyes,205
Volkan Oezdemir,205
Nikita Krylov,205
Johnny Walker,205
Paul Craig,205
Ryan Spann,205
Jimmy Crute,205
Jamahal Hill,205
Ion Cutelaba,205
Francis Ngannou,265
Ciryl Gane,265
Stipe Miocic,265
Derrick Lewis,265
Curtis Blaydes,265
Alexander Volkov,265
Jairzinho Rozenstruik,265
Chris Daukaus,265
Shamil Abdurakhimov,265
Marcin Tybura,265
Tom Aspinall,265
Augusto Sakai,265
Blagoy Ivanov,265
Walt Harris,265
Sergei Pavlovich,265
Sergey Spivak,265
Rose Namajunas,115
Zhang Weili,115
Carla Esparza,115
Marina Rodriguez,115
Yan Xiaonan,115
Mackenzie Dern,115
Nina Ansaroff,115
Claudia Gadelha,115
Tecia Torres,115
Michelle Waterson,115
Amanda Ribas,115
Amanda Lemos,115
Angela Hill,115
Virna Jandiroba,115
Brianna Van Buren,115
Jessica Penne,115
Valentina Shevchenko,125
Jessica Andrade,125
Katlyn Chookagian,125
Lauren Murphy,125
Jennifer Maia,125
Joanne Calderwood,125
Viviane Araujo,125
Andrea Lee,125
Jessica Eye,125
Cynthia Calvillo,125
Taila Santos,125
Alexa Grasso,125
Roxanne Modafferi,125
Maycee Barber,125
Manon Fiorot,125
Casey O'Neill,125
Amanda Nunes,145
Amanda Nunes,135
Germaine De Randamie,135
Holly Holm,135
Irene Aldana,135
Julianna Pena,135
Aspen Ladd,145
Yana Kunitskaya,135
Ketlen Vieira,135
Miesha Tate,135
Raquel Pennington,135
Sara Mcmann,135
Macy Chiasson,135
Lina Lansberg,135
Pannie Kianzad,135
Karol Rosa,135
Julia Avila,135
Andrei Arlovski,265
Ben Rothwell,265
Alexander Gustafsson,265
Ovince Saint Preux,265
Ilir Latifi,265
Marcos Rogerio De Lima,265
Alexey Oleynik,265
Jake Collier,265
Jarjis Danho,265
Chase Sherman,265
Tai Tuivasa,265
Juan Espino,265
Greg Hardy,265
Justin Tafa,265
Tanner Boser,265
Don'Tale Mayes,265
Philipe Lins,265
Rodrigo Nascimento,265
Carlos Felipe,265
